id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.55E+18,1.55E+18,2022-07-12 21:55:31 India Standard Time,12-07-2022,21:55:31,530,1.46E+18,ejustin46,"E. Justin, Randomer",,Ukraine war worsens food insecurity worldwide: report  https://t.co/qfSEHGM8hH,en,[],['https://www.dw.com/en/ukraine-war-worsens-food-insecurity-worldwide-report/a-62439320'],[],0,0,0,[],[],https://twitter.com/ejustin46/status/1546893528218976256,FALSE,,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:55:25 India Standard Time,12-07-2022,21:55:25,530,122167302,ing_var,T-вітер з України 🇺🇦,,Sweden considers sending Ukraine Archer systems.  #UkraineUnderAttaсk #UkraineInvasion  #UkraineWar #RussianUkrainianWar #Russia #Kiev #Ukraine,en,[],[],[],0,0,0,"['ukraineunderattaсk', 'ukraineinvasion', 'ukrainewar', 'russianukrainianwar', 'russia', 'kiev', 'ukraine']",[],https://twitter.com/Ing_Var/status/1546893503208251393,FALSE,https://twitter.com/lilygrutcher/status/1546805702089445376,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:55:19 India Standard Time,12-07-2022,21:55:19,530,581782217,cliffordribner,Clifford Ribner,,"The Brave Ukrainians Fight Back – And We Do Absolutely Nothing, As Has Been The Case Since Obama Under Every Democrat President #biden #putin #russia #ukraine #war  https://t.co/4lKmFIYqA2",en,[],['https://cliffordribner.com/?p=339699'],[],0,0,0,"['biden', 'putin', 'russia', 'ukraine', 'war']",[],https://twitter.com/cliffordribner/status/1546893476402536454,FALSE,,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:55:17 India Standard Time,12-07-2022,21:55:17,530,626731783,kroon125,Ꮆ乇尺卂尺ᗪ 🅺🆁🅾🅾🅽𝟙𝟚𝟝 ©,,(1) Apple heeft een boete van 2 miljoen roebel opgelegd voor het weigeren om gebruikersgegevens te lokaliseren #Ukraine #UkraineCrisis #UkraineWar #StopPutin #StopRussianAggression #WarCrimes #CrimesOfWar #PutinWarCriminal  https://t.co/5cltJjZ3Ov,nl,[],[],['https://pbs.twimg.com/media/FXerRyGXwAAN04Q.jpg'],1,0,0,"['ukraine', 'ukrainecrisis', 'ukrainewar', 'stopputin', 'stoprussianaggression', 'warcrimes', 'crimesofwar', 'putinwarcriminal']",[],https://twitter.com/kroon125/status/1546893470421471240,FALSE,,1,https://pbs.twimg.com/media/FXerRyGXwAAN04Q.jpg,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:54:38 India Standard Time,12-07-2022,21:54:38,530,122167302,ing_var,T-вітер з України 🇺🇦,,"I'm just talking about the fauna of Donetsk region, and Instagram and Facebook block this video  #UkraineUnderAttaсk #UkraineInvasion  #UkraineWar #RussianUkrainianWar #Russia #Kiev #Ukraine",en,[],[],[],0,0,0,"['ukraineunderattaсk', 'ukraineinvasion', 'ukrainewar', 'russianukrainianwar', 'russia', 'kiev', 'ukraine']",[],https://twitter.com/Ing_Var/status/1546893303584546816,FALSE,https://twitter.com/vyshebaba/status/1546472239767371782,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:53:51 India Standard Time,12-07-2022,21:53:51,530,8.21E+17,lukerussell1281,Luke Russell,,"On one hand this should be taken seriously, on the other being resupplied by Iran is a statement on how hard Russia is having to work to maintain their offensive.  BBC News - Ukraine war: Iran plans to supply Russia with combat drones, US warns  https://t.co/u3tN8L0zeM",en,[],['https://www.bbc.co.uk/news/world-us-canada-62130725'],[],0,0,0,[],[],https://twitter.com/LukeRussell1281/status/1546893107404455936,FALSE,,0,,,,,,,,[],,,,
1.55E+18,1.54E+18,2022-07-12 21:53:37 India Standard Time,12-07-2022,21:53:37,530,98780424,blockdog1,Block Dog,,"@PatrykLesniak7 @StoneMan489 @brxarx @RajendranTheva1 @QuocVu59239912 @War_Mapper War is hell. The civilians need to get out of the way more need to leave the country 6 million is not enough. When a Russian missile is intercepted, the missiles fall and de",en,[],[],[],0,0,0,[],[],https://twitter.com/Blockdog1/status/1546893050345127941,FALSE,,0,,,,,,,,"[{'screen_name': 'PatrykLesniak7', 'name': 'Lightning', 'id': '1382847873814044674'}, {'screen_name': 'StoneMan489', 'name': 'Matt stone489', 'id': '1428663970408407041'}, {'screen_name': 'brxarx', 'name': 'Brxarx', 'id': '1304301715634548737'}, {'screen_name': 'RajendranTheva1', 'name': 'Wisdom_trade1', 'id': '1253367340768456705'}, {'screen_name': 'QuocVu59239912', 'name': 'Bloody_Slayer', 'id': '1233063275434143744'}, {'screen_name': 'War_Mapper', 'name': 'Ukraine War Map', 'id': '1496850942209183744'}]",,,,
1.55E+18,1.55E+18,2022-07-12 21:52:58 India Standard Time,12-07-2022,21:52:58,530,232888185,obrienthagreat,Tplus,,"The US has achieved one objective of the Ukraine war, a weaker Euro. Now, 1€ = 1$.  Winter would be another blow back for supporting US wars against the welfare benefits of their citizens.",en,[],[],[],0,0,0,[],[],https://twitter.com/obrienthagreat/status/1546892886578438146,FALSE,,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:52:41 India Standard Time,12-07-2022,21:52:41,530,1.28E+18,labourpatriot,Labour Patriot 🇬🇧🌹,,@novaramedia @AaronBastani Excellent article. Perhaps slightly unfair not to mention Covid and the Ukraine war which realistically has rocked his Premiership.,en,[],[],[],0,0,0,[],[],https://twitter.com/LabourPatriot/status/1546892814419623936,FALSE,,0,,,,,,,,"[{'screen_name': 'novaramedia', 'name': 'Novara Media', 'id': '601148365'}, {'screen_name': 'AaronBastani', 'name': 'Aaron Bastani', 'id': '63082578'}]",,,,
1.55E+18,1.55E+18,2022-07-12 21:52:33 India Standard Time,12-07-2022,21:52:33,530,132853743,fanf42,François Armand,,"A bit long, but interesting read on what could happen in Russia in the wake of Ukraine war",en,[],[],[],0,0,0,[],[],https://twitter.com/fanf42/status/1546892781108576256,FALSE,https://twitter.com/sumlenny/status/1546412818324504581,0,,,,,,,,[],,,,
1.55E+18,1.55E+18,2022-07-12 21:52:26 India Standard Time,12-07-2022,21:52:26,530,1.10E+18,tekstol,#AnatomyOfCapitalAttack #CruzHawleyCoup #Sedition,,Russia-Ukraine war live updates: Putin to visit Tehran; U.S. says Iran plans to send Russia drones  https://t.co/jqNQnUhVxa,en,[],['https://www.washingtonpost.com/world/2022/07/12/russia-ukraine-war-putin-news-live-updates/?tid=ss_tw'],[],0,0,0,[],[],https://twitter.com/TekStol/status/1546892750255280129,FALSE,,0,,,,,,,,[],,,,
